caution,confidence_2_fast_n,confidence_2_good_n,difference_good_minus_fast,feature_family,feature_name
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.4,fvg_ifvg_proximity_pre_entry,fvg_ifvg_near_20p
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.363636,m1_candle_anatomy_before_decision,m1_upper_wick_ge_0_50
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.345455,m1_candle_anatomy_before_decision,m1_close_high_ge_0_70
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.345455,wick_body_proxy_before_decision,wick_body_m5_wick_dominant
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.254545,wick_body_proxy_before_decision,wick_body_m1_wick_dominant
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.218182,target_space_proxy_at_decision,liquidity_htf_recent_level
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.218182,m15_context_before_decision,m15_close_high_ge_0_70
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.218182,m15_context_before_decision,m15_close_low_le_0_30
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.218182,volatility_range_context_before_decision,mid_volatility_context
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.181818,m5_candle_anatomy_before_decision,m5_lower_wick_ge_0_50
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.181818,session_hour,session_new_york
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.163636,m15_context_before_decision,m15_large_body_ge_0_50
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.163636,m5_candle_anatomy_before_decision,m5_upper_wick_ge_0_50
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.145455,pre_decision_sweep_type,pre_decision_m1_upward_sweep
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.127273,m5_candle_anatomy_before_decision,m5_close_high_ge_0_70
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.109091,m1_candle_anatomy_before_decision,m1_lower_wick_ge_0_50
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.090909,volatility_range_context_before_decision,high_volatility_context
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.090909,session_hour,premium_session_open
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.090909,session_hour,session_london
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.072727,m1_candle_anatomy_before_decision,m1_close_low_le_0_30
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.072727,m5_candle_anatomy_before_decision,m5_large_body_ge_0_60
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.054545,m1_candle_anatomy_before_decision,m1_large_body_ge_0_60
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.054545,m5_candle_anatomy_before_decision,m5_close_low_le_0_30
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.054545,pre_decision_sweep_type,pre_decision_m1_downward_sweep
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.054545,round_level_proximity,round_band_10_20p
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,-0.036364,numeric_level_confluence,numeric_level_confluence_20p
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.036364,round_level_proximity,round_band_gt_20p
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.018182,compression_overlap_proxy_before_decision,compression_overlap_proxy
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.018182,round_level_proximity,round_band_0_10p
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.0,target_space_proxy_at_decision,clean_target_space_proxy
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.0,direction_confidence_stratum,direction_confidence_2
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.0,direction_confidence_stratum,direction_confidence_3
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.0,direction_source_stratum,direction_source_existing_metadata
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.0,direction_source_stratum,direction_source_pre_decision_sweep
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.0,compression_overlap_proxy_before_decision,expansion_before_decision_proxy
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.0,fvg_ifvg_proximity_pre_entry,fvg_ifvg_available
WEAK_RESEARCH_ONLY_CONFIDENCE_2_INFERRED_DIRECTION; do_not_use_as_phase_4_gate,11,5,0.0,pre_decision_sweep_type,pre_decision_sweep_inferred
