classification,artifact,row_id,sample_id,direction_source,direction_confidence,decision_timestamp,direction,timestamp_source,reconstruction_method,authoritative_id_field,duplicate_status,notes
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,2,sample_002,EXISTING_METADATA,3,2026-05-19T15:15:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,3,sample_003,EXISTING_METADATA,3,2026-05-19T19:30:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,4,sample_004,EXISTING_METADATA,3,2026-05-19T10:45:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,5,sample_005,EXISTING_METADATA,3,2026-05-19T08:15:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,10,sample_010,EXISTING_METADATA,3,2026-05-19T05:30:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,11,sample_011,EXISTING_METADATA,3,2026-05-19T18:30:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,12,sample_012,EXISTING_METADATA,3,2026-05-19T03:00:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,13,sample_013,EXISTING_METADATA,3,2026-05-19T07:15:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,18,sample_018,EXISTING_METADATA,3,2026-05-18T22:15:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,19,sample_019,EXISTING_METADATA,3,2026-05-18T18:30:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,20,sample_020,EXISTING_METADATA,3,2026-05-19T01:15:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,21,sample_021,EXISTING_METADATA,3,2026-05-18T03:45:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,26,sample_026,EXISTING_METADATA,3,2026-05-18T21:15:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,27,sample_027,EXISTING_METADATA,3,2026-05-18T11:30:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,28,sample_028,EXISTING_METADATA,3,2026-05-18T16:45:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,29,sample_029,EXISTING_METADATA,3,2026-05-18T01:00:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,33,sample_033,EXISTING_METADATA,3,2026-05-18T14:00:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,34,sample_034,EXISTING_METADATA,3,2026-05-18T02:30:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,35,sample_035,EXISTING_METADATA,3,2026-05-18T09:15:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,36,sample_036,EXISTING_METADATA,3,2026-05-18T10:30:00+00:00,SHORT,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
EXISTING_ANALYZED_CONFIDENCE_3,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,37,sample_037,EXISTING_METADATA,3,2026-05-15T16:45:00+00:00,LONG,DIRECT_METADATA,NOT_RECONSTRUCTED,sample_id,ALREADY_INCLUDED_IN_EXISTING_21,counts_toward_60_but_not_additional
