classification,reason,artifact,row_count,unique_sample_count,representative_or_duplicate_sample_ids,notes
DUPLICATE_EXISTING_ANALYZED,SAMPLE_ID_ALREADY_IN_EXISTING_21,backtests/reports/adelin_v2_direction_metadata_recovery/direction_recovery.csv,21,21,sample_002|sample_003|sample_004|sample_005|sample_010|sample_011|sample_012|sample_013|sample_018|sample_019|sample_020|sample_021|sample_026|sample_027|sample_028|sample_029|sample_033|sample_034|sample_035|sample_036|sample_037,duplicate confidence-3 rows not counted as additional
DUPLICATE_EXISTING_ANALYZED,SAMPLE_ID_ALREADY_IN_EXISTING_21,backtests/reports/adelin_v2_good_vs_fast_failure_diagnostic_execution/comparison_results.csv,21,21,sample_002|sample_003|sample_004|sample_005|sample_010|sample_011|sample_012|sample_013|sample_018|sample_019|sample_020|sample_021|sample_026|sample_027|sample_028|sample_029|sample_033|sample_034|sample_035|sample_036|sample_037,duplicate confidence-3 rows not counted as additional
DUPLICATE_EXISTING_ANALYZED,SAMPLE_ID_ALREADY_IN_EXISTING_21,backtests/reports/adelin_v2_good_vs_fast_failure_diagnostic_execution/human_review_priority.csv,21,21,sample_002|sample_003|sample_004|sample_005|sample_010|sample_011|sample_012|sample_013|sample_018|sample_019|sample_020|sample_021|sample_026|sample_027|sample_028|sample_029|sample_033|sample_034|sample_035|sample_036|sample_037,duplicate confidence-3 rows not counted as additional
REJECTED,NON_PRIMARY_DIRECTION_SOURCE,backtests/reports/adelin_v2_h3_h4_proxy_diagnostic_execution/h3_h4_proxy_per_sample.csv,19,19,,confidence-2 PRE_DECISION_SWEEP_INFERENCE rows are sensitivity only
REJECTED,NON_PRIMARY_DIRECTION_SOURCE,backtests/reports/adelin_v2_direction_metadata_recovery/direction_recovery.csv,19,19,,confidence-2 PRE_DECISION_SWEEP_INFERENCE rows are sensitivity only
REJECTED,NON_PRIMARY_DIRECTION_SOURCE,backtests/reports/adelin_v2_good_vs_fast_failure_diagnostic_execution/comparison_results.csv,16,16,,non-primary direction source rows are not eligible
REJECTED,NON_PRIMARY_DIRECTION_SOURCE,backtests/reports/adelin_v2_good_vs_fast_failure_diagnostic_execution/human_review_priority.csv,19,19,,non-primary direction source rows are not eligible
REJECTED,DIRECTION_SOURCE_FIELD_ABSENT,backtests/reports/adelin_v2_preentry_outcome_diagnostics_direction_recovered/sample_diagnostics.csv,40,40,,direction_recovery_source is not treated as direction_source for this strict source audit
REJECTED,DIRECTION_SOURCE_FIELD_ABSENT,backtests/reports/adelin_v2_preentry_outcome_diagnostics/sample_diagnostics.csv,40,40,,missing direction_source is rejected
REJECTED,DIRECTION_SOURCE_FIELD_ABSENT,backtests/reports/adelin_v2_expanded_candidate_window_pack/manual_labels_template.csv,300,300,,missing direction_source is rejected
REJECTED,DIRECTION_SOURCE_FIELD_ABSENT,backtests/reports/adelin_v2_expanded_objective_outcome_replay/enriched_manual_labels_template.csv,300,300,,missing direction_source is rejected
REJECTED,DIRECTION_SOURCE_FIELD_ABSENT,backtests/reports/adelin_v2_expanded_objective_outcome_replay/objective_outcome_replay.csv,857,857,,missing direction_source is rejected
REJECTED,DIRECTION_SOURCE_FIELD_ABSENT,backtests/reports/adelin_v2_objective_outcome_replay/enriched_manual_labels_template.csv,40,40,,missing direction_source is rejected
REJECTED,DIRECTION_SOURCE_FIELD_ABSENT,backtests/reports/adelin_v2_objective_outcome_replay/objective_outcome_replay.csv,526,526,,missing direction_source is rejected
REJECTED,DIRECTION_SOURCE_FIELD_ABSENT,backtests/reports/adelin_v2_visual_review_pack/manual_labels_template.csv,40,40,,missing direction_source is rejected
REJECTED,DIRECTION_SOURCE_FIELD_ABSENT,backtests/reports/adelin_v2_phase_3_visual_review_labels/manual_labels_template.csv,40,40,,missing direction_source is rejected
AMBIGUOUS,NONE,,0,0,,no ambiguous samples remained after duplicate-by-sample_id resolution
