sample_id,symbol,anchor_timestamp,direction,c1_source,c1_timeframe,c1_priority,c1_level_type,c1_level_price,c1_swing_time,c1_known_at,sweep_timestamp,sweep_price,reaction_zone_type,reaction_zone_low,reaction_zone_high,reaction_zone_detected_at,round_level,round_distance_pips,liquidity_confluence_config,liquidity_confluence_distance_pips,entry_level_price,entry_level_source,session,chart_path,html_path,reason_codes,limitations
v3_sample_001,XAUUSD,2025-11-27T13:25:00+00:00,SHORT,H1_SWING,H1,MEDIUM,SWING_HIGH,4159.28,2025-11-25T19:00:00+00:00,2025-11-25T22:00:00+00:00,2025-11-27T12:05:00+00:00,4160.53,IFVG,4159.67,4164.8,2025-11-27T11:10:00+00:00,4160.0,7.2,CONFIG_A_H4_INTERNAL_M5_EXTERNAL,4.6,4162.24,IFVG,NEW_YORK,charts/v3_sample_001.svg,examples/v3_sample_001.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_002,XAUUSD,2026-01-09T19:55:00+00:00,SHORT,DAILY_SWING,D1,HIGH,SWING_HIGH,4500.42,2026-01-07T00:00:00+00:00,2026-01-09T00:00:00+00:00,2026-01-09T18:35:00+00:00,4506.95,FVG,4503.35,4505.22,2026-01-09T19:50:00+00:00,4500.0,4.2,CONFIG_B_DAILY_M15_SWEEP,0.8,4504.28,FVG,OTHER,charts/v3_sample_002.svg,examples/v3_sample_002.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_FVG_FIRST_PRE_ANCHOR_TOUCH_UNMITIGATED_BEFORE_TOUCH|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_003,XAUUSD,2026-01-09T22:20:00+00:00,SHORT,DAILY_SWING,D1,HIGH,SWING_HIGH,4500.42,2026-01-07T00:00:00+00:00,2026-01-09T00:00:00+00:00,2026-01-09T21:20:00+00:00,4501.64,IFVG,4503.35,4505.22,2026-01-09T19:50:00+00:00,4500.0,4.2,CONFIG_B_DAILY_M15_SWEEP,0.8,4504.28,IFVG,OTHER,charts/v3_sample_003.svg,examples/v3_sample_003.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_004,XAUUSD,2026-02-11T20:25:00+00:00,SHORT,H1_SWING,H1,MEDIUM,SWING_HIGH,5078.72,2026-02-10T16:00:00+00:00,2026-02-10T19:00:00+00:00,2026-02-11T19:05:00+00:00,5083.37,FVG,5079.45,5080.73,2026-02-11T20:20:00+00:00,5080.0,12.8,CONFIG_A_H4_INTERNAL_M1_EXTERNAL,7.3,5080.09,FVG,OTHER,charts/v3_sample_004.svg,examples/v3_sample_004.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_FVG_FIRST_PRE_ANCHOR_TOUCH_UNMITIGATED_BEFORE_TOUCH|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_005,XAUUSD,2026-02-13T06:30:00+00:00,LONG,H1_SWING,H1,MEDIUM,SWING_LOW,4989.86,2026-01-26T23:00:00+00:00,2026-01-27T03:00:00+00:00,2026-02-13T05:10:00+00:00,4980.67,FVG,4987.52,4988.93,2026-02-13T06:25:00+00:00,4990.0,1.4,CONFIG_A_H4_INTERNAL_M1_EXTERNAL,9.3,4988.23,FVG,ASIA,charts/v3_sample_005.svg,examples/v3_sample_005.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_FVG_FIRST_PRE_ANCHOR_TOUCH_UNMITIGATED_BEFORE_TOUCH|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_006,XAUUSD,2026-02-18T02:20:00+00:00,LONG,DAILY_SWING,D1,HIGH,SWING_LOW,4878.71,2026-02-12T00:00:00+00:00,2026-02-14T00:00:00+00:00,2026-02-18T01:00:00+00:00,4859.89,IFVG,4868.03,4877.52,2026-02-17T20:25:00+00:00,4880.0,12.9,CONFIG_B_DAILY_M15_SWEEP,10.9,4872.77,IFVG,ASIA_OPEN,charts/v3_sample_006.svg,examples/v3_sample_006.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_007,XAUUSD,2026-03-04T22:15:00+00:00,LONG,H1_SWING,H1,MEDIUM,SWING_LOW,5130.65,2026-02-26T17:00:00+00:00,2026-02-26T20:00:00+00:00,2026-03-04T20:55:00+00:00,5129.26,IFVG,5126.7,5129.95,2026-03-04T20:55:00+00:00,5130.0,6.5,CONFIG_A_H4_INTERNAL_M1_EXTERNAL,8.7,5128.32,IFVG,OTHER,charts/v3_sample_007.svg,examples/v3_sample_007.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_008,XAUUSD,2026-03-06T02:35:00+00:00,SHORT,DAILY_SWING,D1,HIGH,SWING_HIGH,5091.94,2026-02-04T00:00:00+00:00,2026-02-06T00:00:00+00:00,2026-03-06T01:15:00+00:00,5096.81,FVG,5091.98,5096.14,2026-03-06T02:00:00+00:00,5090.0,19.4,CONFIG_A_H4_INTERNAL_M5_EXTERNAL,4.2,5094.06,FVG,ASIA_OPEN,charts/v3_sample_008.svg,examples/v3_sample_008.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_FVG_FIRST_PRE_ANCHOR_TOUCH_UNMITIGATED_BEFORE_TOUCH|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_009,XAUUSD,2026-03-06T14:40:00+00:00,SHORT,DAILY_SWING,D1,HIGH,SWING_HIGH,5091.94,2026-02-04T00:00:00+00:00,2026-02-06T00:00:00+00:00,2026-03-06T13:20:00+00:00,5098.31,IFVG,5091.98,5096.14,2026-03-06T02:00:00+00:00,5090.0,19.4,CONFIG_A_H4_INTERNAL_M1_EXTERNAL,3.2,5094.06,IFVG,NEW_YORK_OPEN,charts/v3_sample_009.svg,examples/v3_sample_009.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_010,XAUUSD,2026-03-16T07:45:00+00:00,SHORT,H1_SWING,H1,MEDIUM,SWING_HIGH,5011.1,2026-02-18T18:00:00+00:00,2026-02-18T21:00:00+00:00,2026-03-16T06:25:00+00:00,5023.47,IFVG,5011.88,5022.0,2026-03-16T01:10:00+00:00,5010.0,11.0,CONFIG_A_H4_INTERNAL_M1_EXTERNAL,10.0,5016.94,IFVG,LONDON,charts/v3_sample_010.svg,examples/v3_sample_010.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_011,XAUUSD,2026-03-16T16:30:00+00:00,LONG,H1_SWING,H1,MEDIUM,SWING_LOW,5019.68,2026-02-10T14:00:00+00:00,2026-02-10T17:00:00+00:00,2026-03-16T15:10:00+00:00,5019.49,IFVG,4998.73,5019.62,2026-03-16T02:10:00+00:00,5020.0,3.2,CONFIG_A_H4_INTERNAL_M5_EXTERNAL,6.7,5009.17,IFVG,NEW_YORK,charts/v3_sample_011.svg,examples/v3_sample_011.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_012,XAUUSD,2026-03-19T04:15:00+00:00,LONG,DAILY_SWING,D1,HIGH,SWING_LOW,4841.48,2026-02-17T00:00:00+00:00,2026-02-19T00:00:00+00:00,2026-03-19T02:55:00+00:00,4839.24,LVN_SANDWICH,4837.0,4838.0,2026-03-19T04:10:00+00:00,4840.0,14.8,CONFIG_A_H4_INTERNAL_M5_EXTERNAL,0.7,4837.5,LVN_SANDWICH,ASIA,charts/v3_sample_012.svg,examples/v3_sample_012.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_LVN_SANDWICH_24H_PROFILE|PROFILE_WINDOW_EXCLUDES_ANCHOR|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_013,XAUUSD,2026-03-23T11:45:00+00:00,LONG,DAILY_SWING,D1,HIGH,SWING_LOW,4271.54,2025-12-16T00:00:00+00:00,2025-12-18T00:00:00+00:00,2026-03-23T10:25:00+00:00,4212.56,FVG,4257.53,4267.6,2026-03-23T11:20:00+00:00,4270.0,15.4,CONFIG_B_DAILY_M15_SWEEP,9.0,4262.57,FVG,LONDON,charts/v3_sample_013.svg,examples/v3_sample_013.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_FVG_FIRST_PRE_ANCHOR_TOUCH_UNMITIGATED_BEFORE_TOUCH|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_014,XAUUSD,2026-03-31T08:20:00+00:00,SHORT,DAILY_SWING,D1,HIGH,SWING_HIGH,4549.92,2025-12-26T00:00:00+00:00,2025-12-30T00:00:00+00:00,2026-03-31T07:00:00+00:00,4560.73,IFVG,4553.74,4556.71,2026-03-31T06:50:00+00:00,4550.0,0.8,CONFIG_B_DAILY_M15_SWEEP,8.7,4555.23,IFVG,LONDON,charts/v3_sample_014.svg,examples/v3_sample_014.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_015,XAUUSD,2026-04-17T22:50:00+00:00,LONG,H1_SWING,H1,MEDIUM,SWING_LOW,4859.08,2026-02-17T07:00:00+00:00,2026-02-17T10:00:00+00:00,2026-04-17T21:50:00+00:00,4855.92,LVN_SANDWICH,4856.0,4857.0,2026-04-17T22:45:00+00:00,4860.0,9.2,CONFIG_A_H4_INTERNAL_M1_EXTERNAL,9.3,4856.5,LVN_SANDWICH,OTHER,charts/v3_sample_015.svg,examples/v3_sample_015.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_LVN_SANDWICH_24H_PROFILE|PROFILE_WINDOW_EXCLUDES_ANCHOR|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
